02/05/2017,THE CLEMENTINE           FOWEY                    ))),"-5.95"
02/05/2017,TALKMOBILE               DD,"-55.00"
28/04/2017,ADVICE CONFIRMS          GBC2804792AUK400         MORGAN STANLEY UK        CR,"274.60"
28/04/2017,PRET A MANGER            UNIT 320 CABO            ))),"-4.34"
28/04/2017,OYSTER BUS AUTOSET       0343 2221234             VIS,"-20.00"
28/04/2017,Fulton RM&NJT*BA         WIFE TAX                 SO,"-1,581.87"
27/04/2017,MORGAN STANLEY           CANARY WHARF             VIS,"-20.00"
26/04/2017,MILE END CLIMBING        LONDON                   VIS,"-9.50"
26/04/2017,MORGAN STANLEY UK        CR,"2,439.17"
25/04/2017,STREET FEAST             CANARY WHARF             ))),"-20.00"
25/04/2017,COSTA COFFEE             LONDON E14               ))),"-5.30"
25/04/2017,STREET FEAST             CANARY WHARF             VIS,"-43.00"
24/04/2017,DELIVEROOCOUK            02033223444              IAP,"-22.00"
24/04/2017,THE BLUE ANCHOR          LONDON  W6               ))),"-20.30"
24/04/2017,IZ *GAIL S LIMITED       HENDON                   ))),"-5.20"
24/04/2017,FIRST EDITION            LONDON                   ))),"-8.95"
24/04/2017,PRET A MANGER            UNIT 320 CABO            ))),"-3.95"
24/04/2017,MORGAN STANLEY           CANARY WHARF             VIS,"-20.00"
24/04/2017,MORGAN STANLEY           CANARY WHARF             VIS,"-20.00"
18/04/2017,TESCO STORES 2239        ISLE OF DOGS             VIS,"-9.82"
18/04/2017,HITACHI CAPITAL CO       DD,"-59.44"
13/04/2017,INT'L 0084450351         Amazon Digital Dwn       866-321-8851             VIS,"-9.98"
13/04/2017,MORGAN STANLEY           CANARY WHARF             VIS,"-20.00"
13/04/2017,FIRST EDITION            LONDON                   VIS,"-30.60"
12/04/2017,THE GYM LTD              DD,"-16.99"
07/04/2017,"BOOTS,LONDON             "LONDON                   ))),"-4.04"
07/04/2017,MORGAN STANLEY           CANARY WHARF             VIS,"-20.00"
07/04/2017,FINE FOOD CAPITAL        LONDON                   VIS,"-274.60"
04/04/2017,COSTA COFFEE             LONDON E14               ))),"-7.40"
03/04/2017,PHOTO ME INTERNATI       SURREY                   ))),"-8.00"
03/04/2017,CABOT PLACE              LONDON  E14              ))),"-5.40"
03/04/2017,COSTA COFFEE             LONDON E14               ))),"-5.30"
03/04/2017,MORGAN STANLEY           CANARY WHARF             VIS,"-20.00"
03/04/2017,HALIFAX                  DD,"-783.94"
03/04/2017,TALKMOBILE               DD,"-18.65"
31/03/2017,DELIVEROOCOUK            02033223444              IAP,"-35.35"
31/03/2017,SAINSBURYS S/MKTS        LEWISHAM - LO            ))),"-5.25"
31/03/2017,Fulton RM&NJT*BA         WIFE TAX                 SO,"-1,581.87"
